------------ Data Table File Created By ActiGraph Link ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yyyy Filter Normal -----------
Serial Number: TAS1E45150269
Start Time 16:00:00
Start Date 7/27/2018
Epoch Period (hh:mm:ss) 00:00:01
Download Time 16:43:48
Download Date 7/27/2018
Current Memory Address: 0
Current Battery Voltage: 4.1     Mode = 63
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,HR,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
7/27/2018,16:00:00,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:00:01,103,43,51,0,0,0,0,1,0,0,122.72
7/27/2018,16:00:02,111,77,319,2,0,0,0,1,0,0,346.43
7/27/2018,16:00:03,143,90,158,1,0,0,0,1,0,0,231.33
7/27/2018,16:00:04,237,117,119,2,0,0,0,1,0,0,289.86
7/27/2018,16:00:05,98,82,323,1,0,0,0,1,0,0,347.36
7/27/2018,16:00:06,182,74,91,1,0,0,0,1,0,0,216.52
7/27/2018,16:00:07,141,97,125,0,0,0,0,1,0,0,211.93
7/27/2018,16:00:08,239,127,108,1,0,0,0,1,0,0,291.4
7/27/2018,16:00:09,226,142,154,1,0,0,0,1,0,0,308.15
7/27/2018,16:00:10,112,67,121,1,92,0,0,1,0,0,177.97
7/27/2018,16:00:11,112,99,275,1,92,0,0,1,0,0,313
7/27/2018,16:00:12,46,44,75,0,92,0,0,1,0,0,98.37
7/27/2018,16:00:13,38,111,141,0,92,0,0,1,0,0,183.43
7/27/2018,16:00:14,42,215,109,1,92,0,0,1,0,0,244.68
7/27/2018,16:00:15,36,68,69,1,92,0,0,1,0,0,103.35
7/27/2018,16:00:16,35,59,51,0,91,0,0,1,0,0,85.48
7/27/2018,16:00:17,33,63,27,1,91,0,0,1,0,0,76.07
7/27/2018,16:00:18,29,42,17,2,91,0,0,1,0,0,53.8
7/27/2018,16:00:19,237,29,27,0,91,0,0,1,0,0,240.29
7/27/2018,16:00:20,144,186,50,1,91,0,0,1,0,0,240.48
7/27/2018,16:00:21,70,98,0,0,90,0,0,1,0,0,120.43
7/27/2018,16:00:22,36,37,0,0,90,0,0,1,0,0,51.62
7/27/2018,16:00:23,39,21,80,1,89,0,0,1,0,0,91.44
7/27/2018,16:00:24,8,73,77,0,89,0,0,1,0,0,106.4
7/27/2018,16:00:25,37,35,41,1,89,0,0,1,0,0,65.38
7/27/2018,16:00:26,35,103,82,1,90,0,0,1,0,0,136.23
7/27/2018,16:00:27,85,85,95,0,90,0,0,1,0,0,153.22
7/27/2018,16:00:28,61,123,187,1,92,0,0,1,0,0,231.99
7/27/2018,16:00:29,109,91,107,2,92,0,0,1,0,0,177.79
7/27/2018,16:00:30,48,42,33,1,94,0,0,1,0,0,71.81
7/27/2018,16:00:31,58,67,91,1,94,0,0,1,0,0,127.02
7/27/2018,16:00:32,139,126,96,1,95,0,0,1,0,0,210.74
7/27/2018,16:00:33,15,42,39,0,95,0,0,1,0,0,59.25
7/27/2018,16:00:34,10,18,37,1,94,0,0,1,0,0,42.34
7/27/2018,16:00:35,68,46,90,0,94,0,0,1,0,0,121.82
7/27/2018,16:00:36,85,124,56,1,0,0,0,1,0,0,160.43
7/27/2018,16:00:37,54,52,76,0,0,0,0,1,0,0,106.75
7/27/2018,16:00:38,5,18,0,1,0,0,0,0,1,0,18.68
7/27/2018,16:00:39,26,32,36,0,0,0,0,1,0,0,54.74
7/27/2018,16:00:40,2,0,28,0,0,0,0,0,1,0,28.07
7/27/2018,16:00:41,4,2,98,0,0,0,0,0,1,0,98.1
7/27/2018,16:00:42,44,36,74,2,93,0,0,1,0,0,93.32
7/27/2018,16:00:43,127,68,81,1,94,0,0,1,0,0,165.27
7/27/2018,16:00:44,45,70,81,1,95,0,0,1,0,0,116.13
7/27/2018,16:00:45,80,37,105,1,95,0,0,1,0,0,137.09
7/27/2018,16:00:46,17,13,27,1,95,0,0,1,0,0,34.45
7/27/2018,16:00:47,8,5,21,0,95,0,0,1,0,0,23.02
7/27/2018,16:00:48,12,16,25,1,93,0,0,1,0,0,32.02
7/27/2018,16:00:49,58,49,121,1,92,0,0,1,0,0,142.85
7/27/2018,16:00:50,52,80,82,0,91,0,0,1,0,0,125.81
7/27/2018,16:00:51,106,67,56,0,90,0,0,1,0,0,137.34
7/27/2018,16:00:52,76,106,105,1,90,0,0,1,0,0,167.44
7/27/2018,16:00:53,120,78,41,0,90,0,0,1,0,0,148.88
7/27/2018,16:00:54,7,1,5,0,89,0,0,1,0,0,8.66
7/27/2018,16:00:55,169,70,81,1,90,0,0,1,0,0,200.05
7/27/2018,16:00:56,51,19,11,0,91,0,0,1,0,0,55.52
7/27/2018,16:00:57,25,15,54,1,91,0,0,1,0,0,61.37
7/27/2018,16:00:58,26,47,15,0,92,0,0,1,0,0,55.77
7/27/2018,16:00:59,0,5,7,0,92,0,0,0,1,0,8.6
7/27/2018,16:01:00,3,0,0,1,93,0,0,0,1,0,3
7/27/2018,16:01:01,77,24,79,0,93,0,0,1,0,0,112.9
7/27/2018,16:01:02,44,23,42,0,92,0,0,1,0,0,65.03
7/27/2018,16:01:03,79,0,135,1,91,0,0,1,0,0,156.42
7/27/2018,16:01:04,93,2,134,0,90,0,0,1,0,0,163.12
7/27/2018,16:01:05,70,26,103,0,89,0,0,1,0,0,127.22
7/27/2018,16:01:06,19,0,37,0,87,0,0,1,0,0,41.59
7/27/2018,16:01:07,0,0,0,0,86,0,1,0,0,0,0
7/27/2018,16:01:08,0,0,0,0,85,0,1,0,0,0,0
7/27/2018,16:01:09,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:10,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:11,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:12,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:13,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:14,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:15,0,0,0,0,0,0,1,0,0,0,0
7/27/2018,16:01:16,0,0,0,0,0,0,1,0,0,0,0
